Kürzel;Beschreibung;wird gesetzt von:
GZ-;"Auszahlung konnte nicht erfolgen; Grund:";QS
GZX;ZA nicht ausgeführt/ungültig;QS
ABA;Projekt von ZE abgebrochen;neutral
ABV;ZE verzichtet auf Zuwendung ohne Mittelabfluss;AB/QS
IA;Kenntnisnahme von Insolvenz;neutral
IVW1;Name des Insolvenzverwalters vor Eröffnung;AB/QS/Juristen
IER;Eröffnung des Insolvenzverfahrens;neutral
IVW2;Name des Sachwalters;AB/QS/Juristen
IDFA;Termin zur Forderungsanmeldung;PA
IFAE;Forderungsanmeldung erstellt;AB/FB
IFAJ;Forderungsanmeldung juristische QS erfolgt;Juristen
IFAZ;Forderungsanmeldung versandt;PA
IFA;Forderungsanmeldung b. RA;PA
IPFA;Verfahren zur Prüfung der FA;AB/QS
GAM1;Erinnerung an ZA;neutral
GAM2;Mahnung ZA;neutral
VBM1;Erinnerung VN-Sach;neutral
VZM1;Erinnerung VN-Zahl;neutral
VBM2;Mahnung VN-Sach;neutral
VZM2;Mahnung VN-Zahl;neutral
ABRWE;Anhörung zum Widerruf durch AB erstellt / Juristen erstellt+QS;AB/QS/Juristen
ABRWJ;Anh z Wid QS juristisch erfolgt/nicht notwendig;Juristen
ABRWQ;Anhörung zum Widerruf QS durch PL erfolgt;QS
ABRWZ;Anhörung zum Widerruf an ZE;PA
ABRWD;Termin Anhörungsfrist abgelaufen;PA
ABRWL;Stellungnahme zur Anh z Wid eingegangen;neutral
ABRWE2;erweiterte Anhörung zum Widerruf durch Juristen erstellt;Juristen
ABRWQ2;erweiterte Anhörung zum Widerruf QS durch PL erfolgt;QS
ABRWZ2;erweiterte Anhörung zum Widerruf an ZE;PA
ABRWD2;Termin erweiterte Anhörungsfrist abgelaufen;neutral
ABRWL2;Stellungnahme zur erweiterten Anh z Wid eingegangen;neutral
WRE;Widerruf erstellt;AB/FB
WRQ;QS des Widerrufs (Art) durch PL erfolgt;QS
WRZG;Widerruf ans BMWK;PA
WRZ;Widerruf an ZE (Art);PA
WRD;Frist Einlegung Rechtsbehelf zum Widerruf;neutral
WRBE;Empfangsbestätigung Widerruf im IT;neutral
WRW;Widerspruch ZE gegen Widerruf (Art);neutral
WRWR;Widerspruch zurückgezogen;neutral
